"filename", "language", "Scala", "comment", "blank", "total"
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/BPU.scala", "Scala", 587, 53, 140, 780
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/Composer.scala", "Scala", 65, 16, 17, 98
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/FTB.scala", "Scala", 381, 54, 100, 535
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/FauFTB.scala", "Scala", 198, 36, 50, 284
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/Frontend.scala", "Scala", 206, 38, 44, 288
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/FrontendBundle.scala", "Scala", 511, 68, 86, 665
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/IFU.scala", "Scala", 539, 108, 154, 801
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/ITTAGE.scala", "Scala", 501, 79, 102, 682
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/Ibuffer.scala", "Scala", 170, 21, 27, 218
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/NewFtq.scala", "Scala", 1050, 188, 221, 1459
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/PreDecode.scala", "Scala", 231, 45, 55, 331
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/RAS.scala", "Scala", 250, 31, 41, 322
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/SC.scala", "Scala", 310, 29, 67, 406
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/Tage.scala", "Scala", 712, 69, 143, 924
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/WrBypass.scala", "Scala", 83, 17, 16, 116
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/ICache.scala", "Scala", 618, 64, 168, 850
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/ICacheBundle.scala", "Scala", 83, 15, 19, 117
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/ICacheMainPipe.scala", "Scala", 598, 96, 161, 855
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/ICacheMissUnit.scala", "Scala", 280, 32, 82, 394
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/ICacheProbeUnit.scala", "Scala", 85, 115, 26, 226
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/IPrefetch.scala", "Scala", 169, 33, 66, 268
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/InstrUncache.scala", "Scala", 161, 24, 49, 234
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/ReleaseUnit.scala", "Scala", 119, 22, 33, 174
"/home/stormy/curricular/keyan/code/XiangShan-fv/src/main/scala/xiangshan/frontend/icache/ReplacePipe.scala", "Scala", 163, 46, 71, 280
"Total", "-", 8070, 1299, 1938, 11307
